time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.01052548421e-08,2.28631409438e-07,10.0017481606,0.000238483255774,2.68024817345e-05,0.0,-1.96843575757e-06,2.00017616146e-05,0.0582702659082,0.0109291835937,0.00132555677937,0.0,423.1276890223706,423.24175865650494,423.25208897284017,424.19142057434414
0.12000000000000001,-9.7737955075e-07,9.54312262031e-06,10.0097951886,0.00101822657274,6.28315556428,0.0,-3.16801155437e-05,0.000369508058653,0.209947476173,0.0168377845407,-0.00591574097156,0.0,453.03025465393625,452.44775634310514,453.043395697623,453.5180201778452
0.18,-9.89344730701e-07,5.85666465322e-05,10.0269959062,0.00205286442475,6.28301949697,0.0,5.73323300641e-05,0.0013769699075,0.363372635908,0.018044147675,0.00417933290083,0.0,453.2309459950203,454.04148156498485,453.5144787239097,453.61126512434515
0.23999999999999996,4.95245059962e-06,0.000187822436972,10.0516841162,0.00345418062843,1.00675987706e-05,0.0,0.000118957282256,0.003059180737,0.459533025769,0.0322861583283,0.000310312149419,0.0,436.0555607603549,435.7322299409141,435.18300716118875,436.3733721221377
0.3,1.17489111996e-05,0.000464284169421,10.0859747744,0.0053514738252,4.12051769612e-05,0.0,0.000104595103606,0.00638657297354,0.683380696767,0.030258325972,0.000933061087216,0.0,474.62551112827225,474.6732845279009,475.0837419585779,474.9285449602818
0.36000000000000004,1.66204726244e-05,0.000990233521237,10.134427636,0.00710776542326,0.000198915578013,0.0,4.43113821102e-05,0.0113655458773,0.931544291227,0.0272214000452,0.00582057751819,0.0,481.777182557822,482.1464782388689,482.42789345656564,482.1987435585048
0.4200000000000001,1.41284480316e-05,0.00181750315484,10.1922625742,0.00885158387398,0.000525733519997,0.0,-0.000160088464223,0.0163733337536,0.996231195673,0.0325140897223,0.00468904145779,0.0,425.399542522757,425.30255739616626,427.3175966228184,427.7687621683644
0.48000000000000015,-6.54208656944e-06,0.00297332597659,10.2531795222,0.0110304242335,0.00102710391441,0.0,-0.000566037993188,0.0223463080157,1.03429790887,0.0429965326824,0.0148330416416,0.0,417.2148712672667,418.099392016554,417.5208227319315,418.43493974137385
0.5400000000000001,-6.3030397755e-05,0.00453254367534,10.3165459965,0.0131347967385,0.00166825617595,0.0,-0.00139010969163,0.0298547849773,1.07787467692,0.0103461239768,0.000735331087971,0.0,421.49772900993065,420.27764778869823,419.98283781027595,417.1421984303824
0.6000000000000002,-0.000184578937327,0.00661946187864,10.3856925352,0.0151091984123,0.00242535112243,0.0,-0.00271254726521,0.0398700966108,1.2268592221,0.0586108789576,0.0294926081281,0.0,452.0230028197413,454.3342023039573,451.61297677322113,455.4892111184553
0.6600000000000003,-0.000401200259258,0.00932048724512,10.4612165419,0.0189819010871,0.00417275954971,0.0,-0.00467791173928,0.0505219080734,1.29053100642,0.0743452535922,0.0283749214113,0.0,427.81237553792334,427.7174932132417,425.0980731326398,426.44727649820567
0.7200000000000003,-0.000776214937819,0.01276727103,10.5419030611,0.0242835584388,0.00627464388525,0.0,-0.00802102962568,0.064881551581,1.39888098267,0.107317764524,0.045809003653,0.0,439.68957446152103,441.131937700255,440.73091782072544,443.45357829404185
0.7800000000000004,-0.00140791413268,0.0172253189187,10.6303590182,0.0307247283581,0.00872233858512,0.0,-0.0133216714564,0.0844200389172,1.54943724257,0.10742281487,0.0281799437904,0.0,455.369441815884,453.957970613883,454.6578367449718,454.6760922041028
0.8400000000000004,-0.00239885003223,0.0229674082592,10.7268652699,0.0373009181967,0.0100277730076,0.0,-0.0198699313016,0.107659008896,1.6672478268,0.113638267328,0.00406859048269,0.0,445.4064034670186,443.4303022397032,445.33335949783725,445.85197631817834
0.9000000000000005,-0.00384391358253,0.0303917872734,10.8342541776,0.0438018369146,0.0107636368971,0.0,-0.0283600443762,0.14063086383,1.91197014747,0.094833274903,0.0250036918022,0.0,482.7217787349241,484.29875811988546,484.1230723015834,482.71532319708933
0.9600000000000005,-0.00576492078273,0.039721094665,10.9511532321,0.0503183612263,0.0124031654508,0.0,-0.0358263938015,0.170946253043,1.98450898468,0.127337066195,0.0316052087629,0.0,431.5653017191811,432.12232210655236,430.68637598123564,433.4367980234992
1.0200000000000005,-0.00818048049908,0.0510549259505,11.0733727936,0.0576850022975,0.0145210023609,0.0,-0.0448971278652,0.207610298715,2.0892424683,0.111606207806,0.0418118096168,0.0,442.25045334264433,443.0908340106375,443.11013941085946,441.8287285762393
1.0800000000000005,-0.0111931740974,0.0647648271063,11.2023069278,0.0649563040262,0.0166267201494,0.0,-0.0557705609941,0.250108883384,2.20828507307,0.13555684762,0.0161989138356,0.0,447.67977551461627,445.5914195588506,447.50248977456295,449.46051166119554
1.1400000000000006,-0.0149418053114,0.0813614281654,11.3410391351,0.0733112914217,0.0173878077518,0.0,-0.0692804362261,0.304054523456,2.41562975766,0.145760314778,0.00452001133209,0.0,474.70856807259645,473.81146043522824,475.0910189398167,475.88920200537115
1.2000000000000006,-0.0195158356736,0.10139027045,11.492113457,0.0816632313052,0.0183304177717,0.0,-0.0832580614558,0.364547146655,2.61964454306,0.120976281565,0.0318607391348,0.0,473.43572885853433,475.5345648846071,476.2897695451749,474.4067984412817
1.2600000000000007,-0.0248826521435,0.124909848134,11.6514389572,0.0889326976037,0.0199648796268,0.0,-0.0958085439414,0.420131664069,2.69096274862,0.121517949737,0.0158731337775,0.0,435.3698374504749,434.03031857208316,435.81332468467485,435.87217076740524
