time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.740000000000001,0.314217067071,2.00005508925,0.0,0.995049394472,5.00403306484,0.0,1.0887077578,1.61844750088,-14.0298718839,-13.4010576916,15.9191514914,0.0,374.266929443,585.531480144,522.888686025,365.519634525,1,-87.0
1.740000000000001,0.287661130665,2.08895284495,0.0,0.90352234952,5.10365700514,0.0,1.12696493489,1.66445431901,-14.0160657894,-13.4738032925,16.0226128943,0.0,373.07241278,589.013932831,523.219241359,362.51723293,2,-87.0
1.560000000000001,0.34759848097,0.905442654181,0.0,0.699898793254,1.51278558843,0.0,0.608060936397,1.82019686206,-14.1263668425,-10.6313623674,14.9910354022,0.0,380.840230906,557.366046802,469.552610829,410.420547394,3,-78.0
1.5000000000000009,-0.176681673368,-1.05503313005,0.0,1.66093876292,5.84772665227,0.0,0.608155579718,-0.997601126194,-13.2250837741,-10.505452159,13.5150050039,0.0,378.338728466,531.268006027,507.865341607,402.968872328,4,-75.0
1.5000000000000009,-0.514272261715,-0.0864977880531,0.0,3.22332777791,6.11250073101,0.0,0.0876205061962,0.643803979302,-14.7599464248,-7.59026064161,14.4518596031,0.0,324.154302221,534.423216802,469.870248819,402.629443164,5,-75.0
1.4400000000000008,-0.148781555088,-0.170099352168,0.0,5.31472920582,4.63528657721,0.0,-0.108461619448,-0.30136343382,-15.6993846222,-1.28638169183,15.4133509916,0.0,290.547149147,545.402436887,430.875761097,402.065216171,6,-72.0
1.5000000000000009,-0.28577805313,-0.216775104529,0.0,2.36253880018,5.77638613957,0.0,0.525382058156,-0.116489639402,-13.2510528578,-3.65180922085,11.6637923822,0.0,404.626064554,514.785475791,500.361355324,408.659683582,7,-75.0
1.5000000000000009,-0.203239321171,-0.141000586978,0.0,1.72222022931,4.20889399671,0.0,-0.602404457143,-0.759816370876,-12.556196615,-5.91648358727,11.3062596384,0.0,469.333116788,535.702863279,528.762553781,421.420981519,8,-75.0
1.4400000000000008,-0.210945833258,-0.0303296544127,0.0,5.84900848966,6.1580428295,0.0,0.21925345498,-0.197026605275,-14.2042714692,-1.01211241245,16.9302116744,0.0,231.74588759,552.753471648,376.481083599,352.78849677,9,-72.0
1.4400000000000008,-0.231448463999,-0.0531590000492,0.0,5.74216341594,1.34804444601,0.0,0.348753788708,-0.256016406343,-14.0088401572,-7.68651998513,13.3009492549,0.0,305.324567443,573.758986802,423.537154964,357.952565754,10,-72.0
1.4400000000000008,-0.18244787416,-0.083032234714,0.0,4.23896551852,1.41467949428,0.0,-0.192050189073,-0.651918802569,-15.7167128995,-5.40422538364,16.9554828575,0.0,171.979524341,560.843641809,327.755905976,251.969741746,11,-72.0
1.4400000000000008,-0.244216460433,-0.0289987113383,0.0,3.29997885358,0.852494253786,0.0,-0.134171300075,0.325241362571,-15.2976146548,-6.99584289592,16.4384537456,0.0,151.77406235,516.279873842,347.05468124,205.340019716,12,-72.0
1.4400000000000008,-0.148352273983,-0.0583785435642,0.0,3.81351492822,1.4304445994,0.0,-0.178793350591,0.081923145803,-15.8861786306,-4.73143717139,17.7606650893,0.0,74.6404313586,564.960856674,264.369521527,179.929478045,13,-72.0
1.4400000000000008,-0.0206452641321,-0.101260093742,0.0,5.16999651432,5.50317247234,0.0,0.0448882002118,-0.409555781923,-14.7039161603,-2.10411305943,18.6257533404,0.0,23.2255670745,569.465916086,154.448340983,112.710598453,14,-72.0
1.4400000000000008,-0.0537009625892,-0.0559448594726,0.0,5.67125803027,4.53755398224,0.0,-0.192936577348,-0.224899432903,-14.3510027679,-0.889854944386,19.7688626407,0.0,17.3378354429,608.38379603,120.387133235,105.262005209,15,-72.0
1.4400000000000008,-0.0318271277887,-0.0288647352257,0.0,5.94851032302,1.59088072559,0.0,-0.0905935201597,-0.145729310671,-14.0604227851,-0.123640902374,20.9168117486,0.0,3.62876492552,643.189742949,50.8499567935,91.3034476196,16,-72.0
1.5000000000000009,0.179788975377,-0.00909204847824,0.0,6.21531566256,0.95451948168,0.0,0.234387040722,-0.0328031221435,-14.5252169071,0.43481619844,21.5050164415,0.0,3.01770682847,665.629883178,34.5147011933,94.8202625012,17,-75.0
1.4400000000000008,0.128042820904,-0.00245926391292,0.0,0.0247807876525,5.98044528826,0.0,0.234624007171,-0.00343996547045,-13.8821647837,0.641705668148,21.7274611502,0.0,2.96275860558,668.360895762,37.4010757484,120.25969973,18,-72.0
1.4400000000000008,0.0625150420636,-0.00754848420154,0.0,0.297563210119,5.27623347704,0.0,0.461786766983,-0.0904157004809,-14.2371475973,-0.0675213235893,16.7110739524,0.0,425.415131701,619.429833285,447.330398746,436.165973485,19,-72.0
1.4400000000000008,-0.140354577825,-0.0391236392666,0.0,0.78632260578,1.07019647345,0.0,0.0371326652019,-0.0540742099691,-13.7579796511,1.98721106312,18.8934999785,0.0,207.639321017,628.36761498,298.530772198,397.057018109,20,-72.0
1.4400000000000008,-0.0856880068214,-0.00711802057883,0.0,3.31804770016,4.03953520852,0.0,-0.684271683969,0.0388487240969,-13.0288770524,7.51743040989,18.6870198199,0.0,239.058862475,642.235790251,300.346390715,514.597663554,21,-72.0
1.4400000000000008,-0.0653594902675,0.0590635494749,0.0,0.631292205872,5.1398382452,0.0,-0.109355209959,0.921523845598,-14.3134436767,12.1899927607,21.6033137637,0.0,61.1427406815,698.384745469,106.154259159,486.987788105,22,-72.0
